               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 130,            0.039167,            0.033199,           0.0047233,             0.79321,               0.685,             0.72644,             0.35843,            0.050154,            0.038899,           0.0075902,            0.005743,            0.005743,            0.005743
                 131,            0.038787,            0.029818,           0.0045952,             0.81191,             0.68412,             0.72348,              0.3546,            0.050159,            0.039688,           0.0072319,             0.00571,             0.00571,             0.00571
                 132,            0.039321,            0.033761,           0.0047089,             0.82558,             0.69739,             0.73724,             0.36112,            0.049844,            0.038665,           0.0075446,            0.005677,            0.005677,            0.005677
                 133,            0.038452,            0.033312,           0.0044446,             0.80925,             0.67546,             0.72532,             0.35347,            0.050054,            0.039713,           0.0073522,            0.005644,            0.005644,            0.005644
                 134,            0.037939,            0.032042,           0.0046393,             0.80986,             0.67798,             0.72802,             0.35787,             0.05004,            0.038987,           0.0071812,            0.005611,            0.005611,            0.005611
                 135,            0.038574,            0.033467,           0.0045122,             0.81699,             0.70524,             0.75185,             0.36389,            0.049477,            0.038504,           0.0069403,            0.005578,            0.005578,            0.005578
                 136,            0.038733,            0.032887,           0.0048439,             0.81535,             0.68091,             0.73573,             0.36478,            0.049635,            0.038875,           0.0071926,            0.005545,            0.005545,            0.005545
                 137,            0.038224,            0.031857,           0.0047014,             0.82142,             0.68614,             0.73518,             0.36021,            0.049683,            0.039383,           0.0073791,            0.005512,            0.005512,            0.005512
                 138,            0.038657,            0.030877,           0.0048931,             0.81105,             0.70138,             0.73572,             0.36083,            0.049873,            0.039261,           0.0073024,            0.005479,            0.005479,            0.005479
                 139,            0.038359,            0.033593,           0.0046386,             0.82498,             0.67617,             0.72981,              0.3609,            0.049736,            0.040088,           0.0071185,            0.005446,            0.005446,            0.005446
                 140,            0.038709,            0.032592,           0.0046306,             0.80528,             0.69068,             0.73003,             0.36075,            0.049613,             0.03919,           0.0069613,            0.005413,            0.005413,            0.005413
                 141,            0.037792,             0.03162,           0.0047397,             0.80237,             0.67764,             0.71858,             0.35838,             0.04997,            0.040005,           0.0074535,             0.00538,             0.00538,             0.00538
                 142,            0.037691,            0.031644,           0.0045645,                0.79,             0.68424,             0.72302,             0.35631,            0.049901,            0.039592,           0.0078222,            0.005347,            0.005347,            0.005347
                 143,            0.038597,            0.030354,           0.0050253,             0.81388,             0.66968,             0.72142,             0.34959,            0.049919,            0.040341,           0.0075706,            0.005314,            0.005314,            0.005314
                 144,            0.038325,            0.031682,             0.00446,             0.80882,             0.69977,             0.73425,              0.3633,            0.049721,            0.038952,           0.0071408,            0.005281,            0.005281,            0.005281
                 145,            0.038406,             0.03331,           0.0046554,             0.81062,             0.69532,             0.73493,             0.36445,            0.049805,            0.038859,            0.007283,            0.005248,            0.005248,            0.005248
                 146,            0.038861,             0.03222,           0.0046424,             0.78992,             0.68827,             0.72889,              0.3609,            0.049899,            0.039051,           0.0071723,            0.005215,            0.005215,            0.005215
                 147,            0.038041,            0.030972,           0.0046509,             0.80579,             0.69317,             0.73798,              0.3642,            0.049834,            0.039453,            0.007136,            0.005182,            0.005182,            0.005182
                 148,            0.037896,            0.031651,           0.0048401,             0.81059,             0.68249,             0.73481,             0.35486,            0.049874,            0.040389,           0.0071612,            0.005149,            0.005149,            0.005149
                 149,            0.038161,            0.033156,           0.0047813,             0.79093,             0.67831,             0.72455,             0.35257,            0.049968,            0.040262,           0.0072735,            0.005116,            0.005116,            0.005116
                 150,            0.037658,            0.030127,           0.0044491,             0.82331,             0.67472,             0.73522,             0.35736,            0.050283,            0.040448,           0.0075076,            0.005083,            0.005083,            0.005083
                 151,            0.037903,             0.03025,           0.0046994,             0.82799,             0.67446,             0.73156,             0.35859,            0.049898,            0.039999,           0.0071522,             0.00505,             0.00505,             0.00505
                 152,            0.037978,            0.032063,           0.0046556,             0.81471,             0.68929,             0.73516,             0.35476,            0.050087,            0.040088,           0.0071241,            0.005017,            0.005017,            0.005017
